Study Area Name,Sample Station Label,Date,Time,End Time,Surveyor,Species,Count,UTM Zone,Easting,Northing,Comments,Inventory Method,Berry count,Stem diameter (mm),Average weight (gms),Fate,N.for.Weight
Eskers Park,SV01-stem1,9-Jul-14,11:00,,Desirae McMurray,SHEPCAN,1,,,,average weight based on N = 27,berry count,25,6.5,0.1007,1,27
Eskers Park,SV01-stem2,9-Jul-14,11:00,,Desirae McMurray,SHEPCAN,1,,,,average weight based on N = 27,berry count,40,6.9,0.1007,1,27
Eskers Park,SV02-stem1,9-Jul-14,11:00,,Desirae McMurray,SHEPCAN,1,,,,average weight based on N = 27,berry count,0,5.8,0.1007,1,27
Eskers Park,SV02-stem2a,9-Jul-14,11:00,,Desirae McMurray,SHEPCAN,1,,,,average weight based on N = 27,berry count,18,7.1,0.1007,4,27
Eskers Park,SV03-stem1,9-Jul-14,11:00,,Desirae McMurray,SHEPCAN,1,,,,average weight based on N = 27,berry count,42,7,0.1007,1,27
Eskers Park,SV03-stem2,9-Jul-14,11:00,,Desirae McMurray,SHEPCAN,1,,,,average weight based on N = 27,berry count,134,9.7,0.1007,1,27
Eskers Park,SV04-stem1,9-Jul-14,11:00,,Desirae McMurray,SHEPCAN,1,,,,average weight based on N = 27,berry count,3,7.1,0.1007,1,27
Eskers Park,SV04-stem2,9-Jul-14,11:00,,Desirae McMurray,SHEPCAN,1,,,,average weight based on N = 27,berry count,11,6.4,0.1007,1,27
Eskers Park,SV05-stem1,9-Jul-14,11:00,,Desirae McMurray,SHEPCAN,1,,,,average weight based on N = 27,berry count,13,7.1,0.1007,1,27
Eskers Park,SV05-stem2,9-Jul-14,11:00,,Desirae McMurray,SHEPCAN,1,,,,average weight based on N = 27,berry count,12,6.6,0.1007,1,27
Eskers Park,SV06-stem1,9-Jul-14,11:00,,Desirae McMurray,SHEPCAN,1,,,,average weight based on N = 27,berry count,21,10.9,0.1007,1,27
Eskers Park,SV06-stem2,9-Jul-14,11:00,,Desirae McMurray,SHEPCAN,1,,,,average weight based on N = 27,berry count,23,8.8,0.1007,1,27
Eskers Park,SV07-stem1,9-Jul-14,11:00,,Desirae McMurray,SHEPCAN,1,,,,average weight based on N = 27,berry count,22,6.2,0.1007,1,27
Eskers Park,SV07-stem2,9-Jul-14,11:00,,Desirae McMurray,SHEPCAN,1,,,,average weight based on N = 27,berry count,21,8.4,0.1007,1,27
Eskers Park,SV08-stem1,9-Jul-14,11:00,,Desirae McMurray,SHEPCAN,1,,,,average weight based on N = 27,berry count,16,9.4,0.1007,3,27
Eskers Park,SV08-stem2,9-Jul-14,11:00,,Desirae McMurray,SHEPCAN,1,,,,average weight based on N = 27,berry count,0,6.5,0.1007,1,27
Eskers Park,SV09-stem1,9-Jul-14,11:00,,Desirae McMurray,SHEPCAN,1,,,,average weight based on N = 27,berry count,30,12.3,0.1007,5,27
Eskers Park,SV09-stem2,9-Jul-14,11:00,,Desirae McMurray,SHEPCAN,1,,,,average weight based on N = 27,berry count,20,8.7,0.1007,5,27
Eskers Park,SV10-stem1,9-Jul-14,11:00,,Desirae McMurray,SHEPCAN,1,,,,average weight based on N = 27,berry count,12,8.2,0.1007,5,27
Eskers Park,SV10-stem2,9-Jul-14,11:00,,Desirae McMurray,SHEPCAN,1,,,,average weight based on N = 27,berry count,2,6.3,0.1007,5,27
