Study Area Name,Sample Station Label,Date,Time,End Time,Surveyor,Species,Count,UTM Zone,Easting,Northing,Comments,Inventory Method,Berry count,Stem diameter (mm),Average weight (gms),Fate,N.for.Weight
ESKERS PARK,SV08-stem16,15-Jul-15,,,Anna McIndoe,Sheperdia canadensis,1,10,489197,5988465,,berry count,0,7.9,0.16,1,25
ESKERS PARK,SV08-stem15,15-Jul-15,,,Anna McIndoe,Sheperdia canadensis,1,,,,,berry count,0,10,0.16,1,25
ESKERS PARK,SV07-stem13,15-Jul-15,,,Anna McIndoe,Sheperdia canadensis,1,10,489211,5988453,,berry count,0,7.6,0.16,1,25
ESKERS PARK,SV07-stem14,15-Jul-15,,,Anna McIndoe,Sheperdia canadensis,1,,,,,berry count,1,8.9,0.16,1,25
ESKERS PARK,SV06-stem11,15-Jul-15,,,Anna McIndoe,Sheperdia canadensis,1,10,489206,5988441,,berry count,0,7.5,0.16,1,25
ESKERS PARK,SV06-stem12,15-Jul-15,,,Anna McIndoe,Sheperdia canadensis,1,,,,,berry count,0,10.1,0.16,1,25
ESKERS PARK,SV05-stem9,15-Jul-15,,,Anna McIndoe,Sheperdia canadensis,1,10,489203,5988459,,berry count,2,7.1,0.16,1,25
ESKERS PARK,SV05-stem10,15-Jul-15,,,Anna McIndoe,Sheperdia canadensis,1,,,,,berry count,1,7,0.16,1,25
ESKERS PARK,SV04-stem7,15-Jul-15,,,Anna McIndoe,Sheperdia canadensis,1,10,489193,5988441,,berry count,0,6.9,0.16,1,25
ESKERS PARK,SV04-stem8,15-Jul-15,,,Anna McIndoe,Sheperdia canadensis,1,,,,,berry count,0,7.1,0.16,1,25
ESKERS PARK,SV03-stem6,15-Jul-15,,,Anna McIndoe,Sheperdia canadensis,1,10,489194,5988433,,berry count,3,11,0.16,1,25
ESKERS PARK,SV03-stem5,15-Jul-15,,,Anna McIndoe,Sheperdia canadensis,1,,,,,berry count,0,7.5,0.16,1,25
ESKERS PARK,SV02-stem3,15-Jul-15,,,Anna McIndoe,Sheperdia canadensis,1,10,489217,5988452,,berry count,0,5.5,0.16,1,25
ESKERS PARK,SV02-stem4,15-Jul-15,,,Anna McIndoe,Sheperdia canadensis,1,,,,,berry count,2,7.9,0.16,1,25
ESKERS PARK,SV10-stem23,15-Jul-15,,,Anna McIndoe,Sheperdia canadensis,1,10,489190,5988446,,berry count,0,7.6,0.16,1,25
ESKERS PARK,SV10-stem24,15-Jul-15,,,Anna McIndoe,Sheperdia canadensis,1,,,,,berry count,0,7.1,0.16,1,25
ESKERS PARK,SV01-stem2,15-Jul-15,,,Anna McIndoe,Sheperdia canadensis,1,10,489185,5988446,,berry count,0,5.4,0.16,4,25
ESKERS PARK,SV01-stem1,15-Jul-15,,,Anna McIndoe,Sheperdia canadensis,1,,,,,berry count,0,6.5,0.16,1,25
ESKERS PARK,SV09-stem22,15-Jul-15,,,Anna McIndoe,Sheperdia canadensis,1,10,489204,5988453,Heavily browsed,berry count,NA,7.8,0.16,1,25
ESKERS PARK,SV09-stem21,15-Jul-15,,,Anna McIndoe,Sheperdia canadensis,1,,,,,berry count,1,8.6,0.16,1,25
